library_ID,R1_file_name
LYS17A,SUG424A5_S109_L003_R1_001.fastq.gz
LYS17B,SUG424A6_S110_L003_R1_001.fastq.gz
LYS17C,SUG424A7_S111_L003_R1_001.fastq.gz
LYS18C,SUG424A10_S99_L003_R1_001.fastq.gz
LYS17A,SUG341A1_S23_L008_R1_001.fastq.gz
LYS17B,SUG341A2_S275_L008_R1_001.fastq.gz
LYS17C,SUG341A3_S210_L008_R1_001.fastq.gz
LYS18C,SUG341A6_S300_L008_R1_001.fastq.gz
LYS23A,SUG341A7_S13_L001_R1_001.fastq.gz
LYS23B,SUG341A8_S14_L001_R1_001.fastq.gz
LYS23C,SUG341A9_S15_L001_R1_001.fastq.gz
LYS23D,SUG341A10_S1_L001_R1_001.fastq.gz
LYS23E,SUG341A11_S2_L001_R1_001.fastq.gz
LYS23F,SUG341A12_S3_L001_R1_001.fastq.gz
LYS23G,SUG341A13_S4_L001_R1_001.fastq.gz
LYS23I,SUG341A15_S6_L001_R1_001.fastq.gz
LYS23J,SUG341A16_S7_L001_R1_001.fastq.gz
LYS23K,SUG341A17_S8_L001_R1_001.fastq.gz
LYS23L,SUG341A18_S9_L001_R1_001.fastq.gz
LYS24N,SUG968A11_S68_L007_R1_001.fastq.gz
LYS24O,SUG968A12_S69_L007_R1_001.fastq.gz
LYS23J,SUG968A1_S97_L007_R1_001.fastq.gz
LYS23K,SUG968A2_S98_L007_R1_001.fastq.gz
LYS23L,SUG968A3_S99_L007_R1_001.fastq.gz
LYS23H,SUG968A4_S100_L007_R1_001.fastq.gz
LYS23N,SUG968A6_S102_L007_R1_001.fastq.gz
LYS23O,SUG968A7_S103_L007_R1_001.fastq.gz
LYS23P,SUG968A8_S71_L007_R1_001.fastq.gz
LYS23Q,SUG968A9_S72_L007_R1_001.fastq.gz