experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,replicate,library_ID,ERCC,TSO,input_volume
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo3,2,LYS23G,Yes,TSO-6,150
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo4,2,LYS23G,Yes,TSO-5,150
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo5,2,LYS23G,Yes,TSO-4,150
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo6,2,LYS23G,Yes,TSO-3,150
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo7,2,LYS23G,Yes,TSO-2,150
polysome,786O,VHL,HIF1B,noEIF4E2,g1,N,1,NA,ribo8,2,LYS23G,Yes,TSO-1,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo1,1,LYS23H,Yes,TSO-9,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo2,1,LYS23H,Yes,TSO-10,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo3,1,LYS23H,Yes,TSO-11,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo4,1,LYS23H,Yes,TSO-12,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo5,1,LYS23H,Yes,TSO-13,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo6,1,LYS23H,Yes,TSO-14,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo7,1,LYS23H,Yes,TSO-15,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo8,1,LYS23H,Yes,TSO-16,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo1,1,LYS23H,Yes,TSO-1,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo2,1,LYS23H,Yes,TSO-2,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo3,1,LYS23H,Yes,TSO-3,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo4,1,LYS23H,Yes,TSO-4,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo5,1,LYS23H,Yes,TSO-5,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo6,1,LYS23H,Yes,TSO-6,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo7,1,LYS23H,Yes,TSO-7,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo8,1,LYS23H,Yes,TSO-8,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo1,2,LYS23I,Yes,TSO-8,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo2,2,LYS23I,Yes,TSO-7,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo3,2,LYS23I,Yes,TSO-6,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo4,2,LYS23I,Yes,TSO-5,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo5,2,LYS23I,Yes,TSO-4,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo6,2,LYS23I,Yes,TSO-3,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo7,2,LYS23I,Yes,TSO-2,150
polysome,786O,noVHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo8,2,LYS23I,Yes,TSO-1,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo1,2,LYS23I,Yes,TSO-16,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo2,2,LYS23I,Yes,TSO-15,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo3,2,LYS23I,Yes,TSO-14,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo4,2,LYS23I,Yes,TSO-13,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo5,2,LYS23I,Yes,TSO-12,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo6,2,LYS23I,Yes,TSO-11,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo7,2,LYS23I,Yes,TSO-10,150
polysome,786O,VHL,HIF1B,noEIF4E2,g2,N,1,NA,ribo8,2,LYS23I,Yes,TSO-9,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,1,LYS23J,Yes,TSO-1,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,1,LYS23J,Yes,TSO-2,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,1,LYS23J,Yes,TSO-3,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,1,LYS23J,Yes,TSO-4,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,1,LYS23J,Yes,TSO-5,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,1,LYS23J,Yes,TSO-6,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,1,LYS23J,Yes,TSO-7,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,1,LYS23J,Yes,TSO-8,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,1,LYS23J,Yes,TSO-9,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,1,LYS23J,Yes,TSO-10,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,1,LYS23J,Yes,TSO-11,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,1,LYS23J,Yes,TSO-12,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,1,LYS23J,Yes,TSO-13,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,1,LYS23J,Yes,TSO-14,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,1,LYS23J,Yes,TSO-15,75
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,1,LYS23J,Yes,TSO-16,75
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo1,1,LYS23K,Yes,TSO-16,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo2,1,LYS23K,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo3,1,LYS23K,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo4,1,LYS23K,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo5,1,LYS23K,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo6,1,LYS23K,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo7,1,LYS23K,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo8,1,LYS23K,Yes,TSO-9,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo1,1,LYS23K,Yes,TSO-8,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo2,1,LYS23K,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo3,1,LYS23K,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo4,1,LYS23K,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo5,1,LYS23K,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo6,1,LYS23K,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo7,1,LYS23K,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo8,1,LYS23K,Yes,TSO-1,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,1,LYS23L,Yes,TSO-9,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,1,LYS23L,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,1,LYS23L,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,1,LYS23L,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,1,LYS23L,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,1,LYS23L,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,1,LYS23L,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,1,LYS23L,Yes,TSO-16,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,1,LYS23L,Yes,TSO-1,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,1,LYS23L,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,1,LYS23L,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,1,LYS23L,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,1,LYS23L,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,1,LYS23L,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,1,LYS23L,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,1,LYS23L,Yes,TSO-8,150
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,NA,2,LYS24N,No,TSO-9,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,NA,2,LYS24N,No,TSO-10,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,NA,2,LYS24N,No,TSO-11,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,NA,2,LYS24N,No,TSO-12,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,NA,2,LYS24N,No,TSO-13,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,NA,2,LYS24N,No,TSO-14,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,1,NA,NA,2,LYS24O,No,TSO-9,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,3,NA,NA,2,LYS24O,No,TSO-10,NA
total,RCC4,noVHL,HIF1B,EIF4E2,NA,H,4,NA,NA,2,LYS24O,No,TSO-11,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,1,NA,NA,2,LYS24O,No,TSO-12,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,3,NA,NA,2,LYS24O,No,TSO-13,NA
total,RCC4,VHL,HIF1B,EIF4E2,NA,H,4,NA,NA,2,LYS24O,No,TSO-14,NA
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,1,LYS23N,Yes,TSO-16,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,1,LYS23N,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,1,LYS23N,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,1,LYS23N,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,1,LYS23N,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,1,LYS23N,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,1,LYS23N,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,1,LYS23N,Yes,TSO-9,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,1,LYS23N,Yes,TSO-8,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,1,LYS23N,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,1,LYS23N,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,1,LYS23N,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,1,LYS23N,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,1,LYS23N,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,1,LYS23N,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,1,LYS23N,Yes,TSO-1,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,1,LYS23O,Yes,TSO-9,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,1,LYS23O,Yes,TSO-10,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,1,LYS23O,Yes,TSO-11,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,1,LYS23O,Yes,TSO-12,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,1,LYS23O,Yes,TSO-13,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,1,LYS23O,Yes,TSO-14,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,1,LYS23O,Yes,TSO-15,150
polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,1,LYS23O,Yes,TSO-16,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,1,LYS23O,Yes,TSO-1,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,1,LYS23O,Yes,TSO-2,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,1,LYS23O,Yes,TSO-3,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,1,LYS23O,Yes,TSO-4,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,1,LYS23O,Yes,TSO-5,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,1,LYS23O,Yes,TSO-6,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,1,LYS23O,Yes,TSO-7,150
polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,1,LYS23O,Yes,TSO-8,150