sample_name,experiment,cell,VHL,HIF1B,EIF4E2,gRNA_id,oxygen,clone,treatment,fraction,library_ID,ERCC,TSO,input_volume
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0A,LYS23P,Yes,TSO-3,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0B,LYS23P,Yes,TSO-4,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,LYS23J,Yes,TSO-9,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,LYS23J,Yes,TSO-10,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,LYS23J,Yes,TSO-11,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,LYS23J,Yes,TSO-12,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,LYS23J,Yes,TSO-13,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,LYS23J,Yes,TSO-14,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,LYS23J,Yes,TSO-15,75
polysome_RCC4_VHL_EIF4E2_NA_1_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,LYS23J,Yes,TSO-16,75
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0A,LYS23P,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0B,LYS23P,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo1,LYS23K,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo2,LYS23K,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo3,LYS23K,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo4,LYS23K,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo5,LYS23K,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo6,LYS23K,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo7,LYS23K,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_3_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,NA,ribo8,LYS23K,Yes,TSO-1,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0A,LYS23P,Yes,TSO-11,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0B,LYS23P,Yes,TSO-12,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,LYS23L,Yes,TSO-1,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,LYS23L,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,LYS23L,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,LYS23L,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,LYS23L,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,LYS23L,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,LYS23L,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_4_NA_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,LYS23L,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_1_Torin1_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0A,LYS23Q,Yes,TSO-15,150
polysome_RCC4_VHL_EIF4E2_NA_1_Torin1_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0B,LYS23Q,Yes,TSO-16,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0A,LYS23Q,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0B,LYS23Q,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,LYS23N,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,LYS23N,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,LYS23N,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,LYS23N,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,LYS23N,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,LYS23N,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,LYS23N,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_3_Torin1_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,LYS23N,Yes,TSO-1,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo0A,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo0A,LYS23Q,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo0B,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo0B,LYS23Q,Yes,TSO-8,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo1,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,LYS23O,Yes,TSO-1,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo2,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,LYS23O,Yes,TSO-2,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo3,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,LYS23O,Yes,TSO-3,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo4,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,LYS23O,Yes,TSO-4,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo5,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo5,LYS23O,Yes,TSO-5,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo6,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo6,LYS23O,Yes,TSO-6,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo7,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo7,LYS23O,Yes,TSO-7,150
polysome_RCC4_VHL_EIF4E2_NA_4_Torin1_ribo8,polysome,RCC4,VHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo8,LYS23O,Yes,TSO-8,150
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0A,LYS23P,Yes,TSO-1,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo0B,LYS23P,Yes,TSO-2,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo1,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo1,LYS23J,Yes,TSO-1,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo2,LYS23J,Yes,TSO-2,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo3,LYS23J,Yes,TSO-3,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo4,LYS23J,Yes,TSO-4,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo5,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo5,LYS23J,Yes,TSO-5,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo6,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo6,LYS23J,Yes,TSO-6,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo7,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo7,LYS23J,Yes,TSO-7,75
polysome_RCC4_noVHL_EIF4E2_NA_1_NA_ribo8,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,NA,ribo8,LYS23J,Yes,TSO-8,75
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0A,LYS23P,Yes,TSO-5,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo0B,LYS23P,Yes,TSO-6,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo1,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo1,LYS23K,Yes,TSO-16,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo2,LYS23K,Yes,TSO-15,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo3,LYS23K,Yes,TSO-14,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo4,LYS23K,Yes,TSO-13,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo5,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo5,LYS23K,Yes,TSO-12,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo6,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo6,LYS23K,Yes,TSO-11,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo7,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo7,LYS23K,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_3_NA_ribo8,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,NA,ribo8,LYS23K,Yes,TSO-9,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0A,LYS23P,Yes,TSO-9,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo0B,LYS23P,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo1,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo1,LYS23L,Yes,TSO-9,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo2,LYS23L,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo3,LYS23L,Yes,TSO-11,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo4,LYS23L,Yes,TSO-12,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo5,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo5,LYS23L,Yes,TSO-13,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo6,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo6,LYS23L,Yes,TSO-14,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo7,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo7,LYS23L,Yes,TSO-15,150
polysome_RCC4_noVHL_EIF4E2_NA_4_NA_ribo8,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,NA,ribo8,LYS23L,Yes,TSO-16,150
polysome_RCC4_noVHL_EIF4E2_NA_1_Torin1_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0A,LYS23Q,Yes,TSO-13,150
polysome_RCC4_noVHL_EIF4E2_NA_1_Torin1_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,1,Torin1,ribo0B,LYS23Q,Yes,TSO-14,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0A,LYS23Q,Yes,TSO-1,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo0B,LYS23Q,Yes,TSO-2,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo1,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo1,LYS23N,Yes,TSO-16,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo2,LYS23N,Yes,TSO-15,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo3,LYS23N,Yes,TSO-14,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo4,LYS23N,Yes,TSO-13,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo5,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo5,LYS23N,Yes,TSO-12,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo6,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo6,LYS23N,Yes,TSO-11,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo7,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo7,LYS23N,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_3_Torin1_ribo8,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,3,Torin1,ribo8,LYS23N,Yes,TSO-9,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo0A,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo0A,LYS23Q,Yes,TSO-5,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo0B,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo0B,LYS23Q,Yes,TSO-6,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo1,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo1,LYS23O,Yes,TSO-9,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo2,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo2,LYS23O,Yes,TSO-10,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo3,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo3,LYS23O,Yes,TSO-11,150
polysome_RCC4_noVHL_EIF4E2_NA_4_Torin1_ribo4,polysome,RCC4,noVHL,HIF1B,EIF4E2,NA,N,4,Torin1,ribo4,LYS23O,Yes,TSO-12,150
